Reference area,Frequency of observation,Measure,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,OBS_VALUE
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,-0.005068531
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2016,95.69810648
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2017,96.85774468
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,1.211767125
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2018,97.27151328
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,0.427192072
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2019,97.34586931
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,0.076441733
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,2.726495437
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2021,100.0778168
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,0.077816771
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2022,102.8444615
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,2.764493535
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2023,101.016355
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,-1.777544969
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,1995,79.08739318
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,1996,80.11312761
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1996,1.296963266
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,1997,82.21056684
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1997,2.618096801
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,1998,82.77803767
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1998,0.690265064
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,1999,84.48123291
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1999,2.057544845
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2000,85.15257864
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2000,0.794668477
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2001,85.3476026
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2001,0.229028833
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2002,85.93289088
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2002,0.685770038
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2003,86.65727122
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2003,0.842960514
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2004,89.45731634
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2004,3.231171572
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2005,90.81968159
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2005,1.522922115
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2006,91.29101602
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2006,0.518978293
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2007,92.97861578
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2007,1.848593464
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2008,92.40751774
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2008,-0.614225149
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2009,91.82988784
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2009,-0.625089721
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2010,92.83378726
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2010,1.093216429
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2011,92.50763403
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2011,-0.351330307
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2012,92.60990537
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2012,0.11055448
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2013,93.16664373
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2013,0.601165031
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2014,94.68248378
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2014,1.627020129
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2015,95.62977428
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2015,1.000491818
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,-0.063295488
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2016,95.56924495
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2017,95.42041814
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,-0.155726679
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2018,95.61606798
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,0.205039808
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2019,96.43422546
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,0.855669448
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,3.697623453
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2021,98.24617084
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,-1.753829161
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2022,98.00596304
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,-0.244495834
Belgium,Annual,GDP per hour worked,Index,Q,Constant prices,2023,98.2566146
Belgium,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,0.255751327
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,1997,72.13642256
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1998,1.882344716
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,1998,73.4942787
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1999,2.544203243
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,1999,75.36412252
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2000,3.16005641
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2000,77.7456713
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2001,1.691919066
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2001,79.06106514
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2002,1.59364641
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2002,80.32101896
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2003,80.49590213
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2003,0.217730261
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2004,0.838003271
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2004,81.17046042
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2005,2.219553622
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2005,82.97208232
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2006,1.262784411
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2006,84.01984084
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2007,0.027862184
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2007,84.0432506
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2008,-0.230405428
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2008,83.84961039
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2009,0.340175562
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2009,84.13484627
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2010,1.088313156
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2010,85.05049687
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2011,1.737414803
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2011,86.52817679
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2012,-0.02344602
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2012,86.50788938
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2013,1.431497579
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2013,87.74624772
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2014,2.865508782
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2014,90.26062416
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2015,-0.217166034
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2015,90.06460874
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,0.712906268
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2016,90.70668498
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,1.572154703
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2017,92.13273439
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,0.109942512
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2018,92.23402744
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,0.454721312
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2019,92.65343522
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,7.929079767
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,-4.306844633
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2021,95.69315537
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,-0.406021561
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2022,95.30462052
Canada,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,-1.379424507
Canada,Annual,GDP per hour worked,Index,Q,Constant prices,2023,93.98996523
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2013,84.28424515
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2014,85.74640548
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2014,1.734796732
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2015,85.89830002
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2015,0.177143913
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2016,87.09198592
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,1.389650205
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2017,86.85339851
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,-0.273948756
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2018,88.66605507
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,2.087030089
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2019,88.26200702
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,-0.455696424
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,13.29903247
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,0.889746444
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2021,100.8897464
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2022,94.42964339
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,-6.403131423
Chile,Annual,GDP per hour worked,Index,Q,Constant prices,2023,92.99772984
Chile,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,-1.516381399
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2015,77.60450439
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2016,79.07567651
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,1.895730316
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2017,79.93030549
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,1.080773533
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2018,81.10126899
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,1.464980641
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2019,83.65288444
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,3.146209028
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,19.54160417
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2021,93.63719073
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,-6.362809266
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2022,93.20335644
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,-0.463314087
Colombia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,-1.447644124
Colombia,Annual,GDP per hour worked,Index,Q,Constant prices,2023,91.85410353
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,1995,50.70111833
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1996,0.398493025
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,1996,50.90315875
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1997,-1.424604599
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,1997,50.17799001
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1998,1.106777321
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,1998,50.73334862
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1999,2.312016621
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,1999,51.90631208
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2000,1.802835196
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2000,52.84209734
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2001,-0.588317983
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2001,52.53121778
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2002,0.679352383
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2002,52.88808986
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2003,1.409288462
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2003,53.63343561
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2004,2.504043714
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2004,54.97644028
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2005,-1.740079157
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2005,54.0198067
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2006,3.944701805
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2006,56.15072699
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2007,1.360770618
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2007,56.91480958
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2008,3.150388073
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2008,58.70784696
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2009,2.834582676
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2009,60.37196942
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2010,11.68243331
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2010,67.42488448
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2011,4.800691085
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2011,70.6617449
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2012,-1.39406162
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2012,69.67667663
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2013,5.231700578
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2013,73.32195173
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2014,2.542483787
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2014,75.18615046
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2015,3.21556443
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2015,77.60380957
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,4.384580434
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2016,81.00641102
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2017,82.91541323
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,2.356606325
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,1.849870871
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2018,84.44924131
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,2.762121945
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2019,86.78183233
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,15.23149179
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,-5.267438631
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2021,94.73256137
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,-4.611370826
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2022,90.36409167
Costa Rica,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,6.857993098
Costa Rica,Annual,GDP per hour worked,Index,Q,Constant prices,2023,96.56125484
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,1995,53.759745
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,1996,55.77707718
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1996,3.752495818
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,1997,55.58446369
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1997,-0.345327325
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,1998,55.6374485
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1998,0.095323055
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,1999,56.74104467
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1999,1.98354921
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,2000,59.20079234
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2000,4.335041198
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,2001,63.67625603
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2001,7.559803711
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,2002,64.62314947
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2002,1.487043209
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,2003,67.78236513
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2003,4.88867486
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,2004,70.56393856
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2004,4.103683048
Czechia,Annual,GDP per hour worked,Index,Q,Constant prices,2005,74.07865344
Czechia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2005,4.980893858
