Reference area,Frequency of observation,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE
Sweden,Annual,Employment,Persons,2012,4688.2
Sweden,Annual,Employment,Persons,2013,4736
Sweden,Annual,Employment,Persons,2014,4805.3
Sweden,Annual,Employment,Persons,2015,4877.7
Sweden,Annual,Employment,Persons,2016,4975.1
Sweden,Annual,Employment,Persons,2017,5099.9
Sweden,Annual,Employment,Persons,2018,5186.1
Sweden,Annual,Employment,Persons,2019,5219.4
Sweden,Annual,Employment,Persons,2020,5152.7
Sweden,Annual,Employment,Persons,2021,5217.9
Sweden,Annual,Employment,Persons,2022,5400.1
Sweden,Annual,Employment,Persons,2023,5463.2
Sweden,Annual,Employment,Persons,2024,5445.8
United Kingdom,Annual,Employment,Persons,1995,25814.34
United Kingdom,Annual,Employment,Persons,1996,26056.249
United Kingdom,Annual,Employment,Persons,1997,26522.786
United Kingdom,Annual,Employment,Persons,1998,26793.53
United Kingdom,Annual,Employment,Persons,1999,27167.078
United Kingdom,Annual,Employment,Persons,2000,27483.294
United Kingdom,Annual,Employment,Persons,2001,27711.393
United Kingdom,Annual,Employment,Persons,2002,27943.903
United Kingdom,Annual,Employment,Persons,2003,28223.073
United Kingdom,Annual,Employment,Persons,2004,28533.454
United Kingdom,Annual,Employment,Persons,2005,28853.15
United Kingdom,Annual,Employment,Persons,2006,29140.451
United Kingdom,Annual,Employment,Persons,2007,29378.747
United Kingdom,Annual,Employment,Persons,2008,29627.564
United Kingdom,Annual,Employment,Persons,2009,29154.264
United Kingdom,Annual,Employment,Persons,2010,29226.867
United Kingdom,Annual,Employment,Persons,2011,29374.489
United Kingdom,Annual,Employment,Persons,2012,29694.324
United Kingdom,Annual,Employment,Persons,2013,30041.77
United Kingdom,Annual,Employment,Persons,2014,30752.516
United Kingdom,Annual,Employment,Persons,2015,31285.035
United Kingdom,Annual,Employment,Persons,2016,31745.325
United Kingdom,Annual,Employment,Persons,2017,32060.17
United Kingdom,Annual,Employment,Persons,2018,32442.967
United Kingdom,Annual,Employment,Persons,2019,32918.729
United Kingdom,Annual,Employment,Persons,2020,32554.923
United Kingdom,Annual,Employment,Persons,2021,32551.369
United Kingdom,Annual,Employment,Persons,2022,32955.659
United Kingdom,Annual,Employment,Persons,2023,33348.734
