Reference area,Frequency of observation,Measure,TIME_PERIOD,OBS_VALUE,Unit of measure
Germany,Annual,Policy stringency,1990,1.4444444,0-6 scale
Germany,Annual,Policy stringency,1991,1.6944444,0-6 scale
Germany,Annual,Policy stringency,1992,1.6111112,0-6 scale
Germany,Annual,Policy stringency,1993,1.6111112,0-6 scale
Germany,Annual,Policy stringency,1994,1.6666666,0-6 scale
Germany,Annual,Policy stringency,1995,1.5,0-6 scale
Germany,Annual,Policy stringency,1996,1.6944444,0-6 scale
Germany,Annual,Policy stringency,1997,1.4444444,0-6 scale
Germany,Annual,Policy stringency,1998,1.5833334,0-6 scale
Germany,Annual,Policy stringency,1999,1.5,0-6 scale
Germany,Annual,Policy stringency,2000,1.7777778,0-6 scale
Germany,Annual,Policy stringency,2001,1.7777778,0-6 scale
Germany,Annual,Policy stringency,2002,2.4166667,0-6 scale
Germany,Annual,Policy stringency,2003,2.6666667,0-6 scale
Germany,Annual,Policy stringency,2004,2.7777777,0-6 scale
Germany,Annual,Policy stringency,2005,2.8888888,0-6 scale
Germany,Annual,Policy stringency,2006,2.9444444,0-6 scale
Germany,Annual,Policy stringency,2007,2.7777777,0-6 scale
Germany,Annual,Policy stringency,2008,3.0277777,0-6 scale
Germany,Annual,Policy stringency,2009,3.1388888,0-6 scale
Germany,Annual,Policy stringency,2010,3.0833333,0-6 scale
Germany,Annual,Policy stringency,2011,3.1666667,0-6 scale
Germany,Annual,Policy stringency,2012,3.0555556,0-6 scale
Germany,Annual,Policy stringency,2013,3.2222223,0-6 scale
Germany,Annual,Policy stringency,2014,3.1111112,0-6 scale
Germany,Annual,Policy stringency,2015,3.0277777,0-6 scale
Germany,Annual,Policy stringency,2016,3.0833333,0-6 scale
Germany,Annual,Policy stringency,2017,3.0277777,0-6 scale
Germany,Annual,Policy stringency,2018,3.25,0-6 scale
Germany,Annual,Policy stringency,2019,3.3055556,0-6 scale
Germany,Annual,Policy stringency,2020,3.4722223,0-6 scale
Korea,Annual,Policy stringency,1990,0.083333336,0-6 scale
Korea,Annual,Policy stringency,1991,0.33333334,0-6 scale
Korea,Annual,Policy stringency,1992,0.33333334,0-6 scale
Korea,Annual,Policy stringency,1993,0.33333334,0-6 scale
Korea,Annual,Policy stringency,1994,0.33333334,0-6 scale
Korea,Annual,Policy stringency,1995,0.33333334,0-6 scale
Korea,Annual,Policy stringency,1996,0.75,0-6 scale
Korea,Annual,Policy stringency,1997,0.75,0-6 scale
Korea,Annual,Policy stringency,1998,0.75,0-6 scale
Korea,Annual,Policy stringency,1999,0.83333331,0-6 scale
Korea,Annual,Policy stringency,2000,0.8888889,0-6 scale
Korea,Annual,Policy stringency,2001,0.8888889,0-6 scale
Korea,Annual,Policy stringency,2002,1.3888888,0-6 scale
Korea,Annual,Policy stringency,2003,1.8055556,0-6 scale
Korea,Annual,Policy stringency,2004,2.2222223,0-6 scale
Korea,Annual,Policy stringency,2005,3.1388888,0-6 scale
Korea,Annual,Policy stringency,2006,3.3055556,0-6 scale
Korea,Annual,Policy stringency,2007,3.3055556,0-6 scale
Korea,Annual,Policy stringency,2008,3.1388888,0-6 scale
Korea,Annual,Policy stringency,2009,3.3055556,0-6 scale
Korea,Annual,Policy stringency,2010,3.3888888,0-6 scale
Korea,Annual,Policy stringency,2011,3.6111112,0-6 scale
Korea,Annual,Policy stringency,2012,3,0-6 scale
Korea,Annual,Policy stringency,2013,3,0-6 scale
Korea,Annual,Policy stringency,2014,2.8333333,0-6 scale
Korea,Annual,Policy stringency,2015,2.9444444,0-6 scale
Korea,Annual,Policy stringency,2016,3,0-6 scale
Korea,Annual,Policy stringency,2017,3,0-6 scale
Korea,Annual,Policy stringency,2018,3.1111112,0-6 scale
Korea,Annual,Policy stringency,2019,3.1666667,0-6 scale
Korea,Annual,Policy stringency,2020,3.1666667,0-6 scale
Sweden,Annual,Policy stringency,1990,0.69444442,0-6 scale
Sweden,Annual,Policy stringency,1991,1.0277778,0-6 scale
Sweden,Annual,Policy stringency,1992,1.5277778,0-6 scale
Sweden,Annual,Policy stringency,1993,1.361111,0-6 scale
Sweden,Annual,Policy stringency,1994,1.4166666,0-6 scale
Sweden,Annual,Policy stringency,1995,1.25,0-6 scale
Sweden,Annual,Policy stringency,1996,1.3055556,0-6 scale
Sweden,Annual,Policy stringency,1997,1.25,0-6 scale
Sweden,Annual,Policy stringency,1998,1.388889,0-6 scale
Sweden,Annual,Policy stringency,1999,1.3333334,0-6 scale
Sweden,Annual,Policy stringency,2000,2.1666667,0-6 scale
Sweden,Annual,Policy stringency,2001,2.3888888,0-6 scale
Sweden,Annual,Policy stringency,2002,3.0555556,0-6 scale
Sweden,Annual,Policy stringency,2003,3.0833333,0-6 scale
Sweden,Annual,Policy stringency,2004,3.1388888,0-6 scale
Sweden,Annual,Policy stringency,2005,3.0833333,0-6 scale
Sweden,Annual,Policy stringency,2006,3.25,0-6 scale
Sweden,Annual,Policy stringency,2007,3.0833333,0-6 scale
Sweden,Annual,Policy stringency,2008,3.4166667,0-6 scale
Sweden,Annual,Policy stringency,2009,3.6111112,0-6 scale
Sweden,Annual,Policy stringency,2010,3.6111112,0-6 scale
Sweden,Annual,Policy stringency,2011,3.5,0-6 scale
Sweden,Annual,Policy stringency,2012,3.3888888,0-6 scale
Sweden,Annual,Policy stringency,2013,3.4444444,0-6 scale
Sweden,Annual,Policy stringency,2014,3.5555556,0-6 scale
Sweden,Annual,Policy stringency,2015,3.6111112,0-6 scale
Sweden,Annual,Policy stringency,2016,3.6666667,0-6 scale
Sweden,Annual,Policy stringency,2017,3.6111112,0-6 scale
Sweden,Annual,Policy stringency,2018,3.6666667,0-6 scale
Sweden,Annual,Policy stringency,2019,3.6111112,0-6 scale
Sweden,Annual,Policy stringency,2020,3.8333333,0-6 scale
United Kingdom,Annual,Policy stringency,1990,1.1111112,0-6 scale
United Kingdom,Annual,Policy stringency,1991,1.1111112,0-6 scale
United Kingdom,Annual,Policy stringency,1992,1.1111112,0-6 scale
United Kingdom,Annual,Policy stringency,1993,0.94444442,0-6 scale
United Kingdom,Annual,Policy stringency,1994,1,0-6 scale
United Kingdom,Annual,Policy stringency,1995,1,0-6 scale
United Kingdom,Annual,Policy stringency,1996,1,0-6 scale
United Kingdom,Annual,Policy stringency,1997,1,0-6 scale
United Kingdom,Annual,Policy stringency,1998,1,0-6 scale
United Kingdom,Annual,Policy stringency,1999,1,0-6 scale
United Kingdom,Annual,Policy stringency,2000,1.3333334,0-6 scale
United Kingdom,Annual,Policy stringency,2001,1.3333334,0-6 scale
United Kingdom,Annual,Policy stringency,2002,1.3333334,0-6 scale
United Kingdom,Annual,Policy stringency,2003,2.1388888,0-6 scale
United Kingdom,Annual,Policy stringency,2004,2.1388888,0-6 scale
United Kingdom,Annual,Policy stringency,2005,2.3055556,0-6 scale
United Kingdom,Annual,Policy stringency,2006,2.4166667,0-6 scale
United Kingdom,Annual,Policy stringency,2007,2.25,0-6 scale
United Kingdom,Annual,Policy stringency,2008,2.4722223,0-6 scale
United Kingdom,Annual,Policy stringency,2009,2.6666667,0-6 scale
United Kingdom,Annual,Policy stringency,2010,3.3611112,0-6 scale
United Kingdom,Annual,Policy stringency,2011,3.3333333,0-6 scale
United Kingdom,Annual,Policy stringency,2012,2.8888888,0-6 scale
United Kingdom,Annual,Policy stringency,2013,3.2222223,0-6 scale
United Kingdom,Annual,Policy stringency,2014,3.75,0-6 scale
United Kingdom,Annual,Policy stringency,2015,3.8611112,0-6 scale
United Kingdom,Annual,Policy stringency,2016,3.3611112,0-6 scale
United Kingdom,Annual,Policy stringency,2017,3.4722223,0-6 scale
United Kingdom,Annual,Policy stringency,2018,3.5277777,0-6 scale
United Kingdom,Annual,Policy stringency,2019,3.5277777,0-6 scale
United Kingdom,Annual,Policy stringency,2020,3.6111112,0-6 scale
